"No.","Time","Source","Destination","Length","Protocol","Info"
"47","5.940114","185.220.101.175","54.36.163.65","1316","TCP","20884  >  8001 [PSH, ACK] Seq=54582 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"48","6.305586","185.220.101.175","54.36.163.65","374","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=56862 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU]"
"49","6.305586","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=55838 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"50","6.424024","185.220.101.175","54.36.163.65","456","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=58200 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"51","6.424024","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=57176 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"52","6.931983","185.220.101.175","54.36.163.65","1480","TCP","20884  >  8001 [PSH, ACK] Seq=58596 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"53","7.153716","185.220.101.175","54.36.163.65","1084","TCP","20884  >  8001 [ACK] Seq=60016 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"54","7.153716","185.220.101.175","54.36.163.65","780","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=62064 Ack=1 Win=21 Len=720 [TCP segment of a reassembled PDU]"
"55","7.153716","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [PSH, ACK] Seq=61040 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"56","7.378026","185.220.101.175","54.36.163.65","1398","TCP","20884  >  8001 [PSH, ACK] Seq=62784 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"57","7.477419","185.220.101.175","54.36.163.65","1398","TCP","20884  >  8001 [PSH, ACK] Seq=64122 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"58","7.753263","185.220.101.175","54.36.163.65","555","TCP","20884  >  8001 [PSH, ACK] Seq=65460 Ack=1 Win=21 Len=495 [TCP segment of a reassembled PDU]"
"59","8.179536","185.220.101.175","54.36.163.65","603","TCP","20884  >  8001 [PSH, ACK] Seq=65955 Ack=1 Win=21 Len=543 [TCP segment of a reassembled PDU]"
"60","8.268940","185.220.101.175","54.36.163.65","1660","TCP","20884  >  8001 [PSH, ACK] Seq=66498 Ack=1 Win=21 Len=1600 [TCP segment of a reassembled PDU]"
"61","8.746175","185.220.101.175","54.36.163.65","1084","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=69122 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"62","8.746175","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=68098 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"63","8.746175","185.220.101.175","54.36.163.65","1424","TCP","20884  >  8001 [PSH, ACK] Seq=70146 Ack=1 Win=21 Len=1364 [TCP segment of a reassembled PDU]"
"64","8.800524","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=71510 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"65","8.800524","185.220.101.175","54.36.163.65","1290","TCP","20884  >  8001 [PSH, ACK] Seq=73558 Ack=1 Win=21 Len=1230 [TCP segment of a reassembled PDU]"
"66","8.964013","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=74788 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"67","8.964013","185.220.101.175","54.36.163.65","852","TCP","20884  >  8001 [PSH, ACK] Seq=76836 Ack=1 Win=21 Len=792 [TCP segment of a reassembled PDU]"
"68","9.090449","185.220.101.175","54.36.163.65","1084","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=78652 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"69","9.090449","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=77628 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"70","9.090449","185.220.101.175","54.36.163.65","852","TCP","20884  >  8001 [PSH, ACK] Seq=79676 Ack=1 Win=21 Len=792 [TCP segment of a reassembled PDU]"
"71","9.142929","185.220.101.175","54.36.163.65","456","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=81492 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"72","9.142930","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=80468 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"73","9.158850","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=81888 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"74","9.166495","185.220.101.175","54.36.163.65","852","TCP","20884  >  8001 [PSH, ACK] Seq=83936 Ack=1 Win=21 Len=792 [TCP segment of a reassembled PDU]"
"75","9.242925","185.220.101.175","54.36.163.65","1157","TCP","20884  >  8001 [PSH, ACK] Seq=84728 Ack=1 Win=21 Len=1097 [TCP segment of a reassembled PDU]"
"76","9.433411","185.220.101.175","54.36.163.65","1398","TCP","20884  >  8001 [PSH, ACK] Seq=85825 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"77","10.099228","185.220.101.175","54.36.163.65","1816","TLSv1.2","Encrypted Handshake Message, Ignored Unknown Record"
"78","10.173566","185.220.101.175","54.36.163.65","122","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"79","10.244102","185.220.101.175","54.36.163.65","1480","TCP","20884  >  8001 [PSH, ACK] Seq=90005 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"80","10.543042","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=91425 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"81","10.543042","185.220.101.175","54.36.163.65","606","TCP","20884  >  8001 [PSH, ACK] Seq=93473 Ack=1 Win=21 Len=546 [TCP segment of a reassembled PDU]"
"82","10.883367","185.220.101.175","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"83","11.380140","185.220.101.175","54.36.163.65","852","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"84","11.516719","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"85","11.630306","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"86","11.824220","185.220.101.175","54.36.163.65","988","TLSv1.2","Ignored Unknown Record"
"87","11.979359","185.220.101.175","54.36.163.65","160","TLSv1.2","Ignored Unknown Record"
"88","12.362323","185.220.101.175","54.36.163.65","1480","TCP","20884  >  8001 [PSH, ACK] Seq=103485 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"89","12.519743","185.220.101.175","54.36.163.65","1316","TCP","20884  >  8001 [PSH, ACK] Seq=104905 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"90","12.694604","185.220.101.175","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"91","12.856016","185.220.101.175","54.36.163.65","292","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"92","13.142972","185.220.101.175","54.36.163.65","1398","TLSv1.2","Ignored Unknown Record"
"93","13.208473","185.220.101.175","54.36.163.65","168","TLSv1.2","Ignored Unknown Record"
"94","14.179834","185.220.101.175","54.36.163.65","2108","TLSv1.2","Application Data"
"95","14.179834","185.220.101.175","54.36.163.65","126","TLSv1.2","Application Data"
"96","14.498760","185.220.101.175","54.36.163.65","1146","TLSv1.2","Application Data, Application Data"
"97","14.598217","185.220.101.175","54.36.163.65","1480","TLSv1.2","Application Data"
"98","14.921015","185.220.101.175","54.36.163.65","1316","TCP","20884  >  8001 [PSH, ACK] Seq=114903 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"99","15.039662","185.220.101.175","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"100","15.137576","185.220.101.175","54.36.163.65","2108","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"101","15.137576","185.220.101.175","54.36.163.65","131","TCP","20884  >  8001 [PSH, ACK] Seq=119545 Ack=1 Win=21 Len=71 [TCP segment of a reassembled PDU]"
"102","15.215711","185.220.101.175","54.36.163.65","456","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=120640 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"103","15.215711","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=119616 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"104","15.260592","185.220.101.175","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"105","15.597536","185.220.101.175","54.36.163.65","374","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"106","15.684182","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"107","15.711090","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"108","15.842778","185.220.101.175","54.36.163.65","210","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"109","15.866264","185.220.101.175","54.36.163.65","674","TLSv1.2","Ignored Unknown Record"
"110","16.178560","185.220.101.175","54.36.163.65","1398","TCP","20884  >  8001 [PSH, ACK] Seq=132190 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"111","16.307783","185.220.101.175","54.36.163.65","293","TLSv1.2","Application Data"
"112","16.457064","185.220.101.175","54.36.163.65","603","TLSv1.2","Application Data"
"113","16.574135","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=134304 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"114","16.574340","185.220.101.175","54.36.163.65","244","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=137376 Ack=1 Win=21 Len=184 [TCP segment of a reassembled PDU]"
"115","16.574340","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=136352 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"116","16.664057","185.220.101.175","54.36.163.65","2108","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"117","16.664057","185.220.101.175","54.36.163.65","1528","TCP","20884  >  8001 [PSH, ACK] Seq=139608 Ack=1 Win=21 Len=1468 [TCP segment of a reassembled PDU]"
"118","16.784947","185.220.101.175","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"119","17.129023","185.220.101.175","54.36.163.65","210","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"120","17.245995","185.220.101.175","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"121","17.245996","185.220.101.175","54.36.163.65","478","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"122","17.313952","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"123","17.395195","185.220.101.175","54.36.163.65","292","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"124","17.580486","185.220.101.175","54.36.163.65","216","TLSv1.2","Ignored Unknown Record"
"125","17.748901","185.220.101.175","54.36.163.65","603","TLSv1.2","Application Data"
"126","18.181241","185.220.101.175","54.36.163.65","1398","TLSv1.2","Application Data, Application Data"
"127","18.272028","185.220.101.175","54.36.163.65","351","TLSv1.2","Application Data"
"128","18.614364","185.220.101.175","54.36.163.65","603","TLSv1.2","Application Data"
"129","18.699473","185.220.101.175","54.36.163.65","1480","TCP","20884  >  8001 [PSH, ACK] Seq=155697 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"130","18.963207","185.220.101.175","54.36.163.65","1316","TCP","20884  >  8001 [PSH, ACK] Seq=157117 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"131","19.129016","185.220.101.175","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"132","19.261152","185.220.101.175","54.36.163.65","1316","TCP","20884  >  8001 [PSH, ACK] Seq=159793 Ack=1 Win=21 Len=1256 [TCP segment of a reassembled PDU]"
"133","19.584076","185.220.101.175","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"134","19.681580","185.220.101.175","54.36.163.65","374","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=163411 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU]"
"135","19.681580","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=162387 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"136","19.921453","185.220.101.175","54.36.163.65","1398","TCP","20884  >  8001 [PSH, ACK] Seq=163725 Ack=1 Win=21 Len=1338 [TCP segment of a reassembled PDU]"
"137","20.007893","185.220.101.175","54.36.163.65","1398","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"138","20.725056","185.220.101.175","54.36.163.65","374","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=167425 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU]"
"139","20.725057","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=166401 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"140","20.810207","185.220.101.175","54.36.163.65","374","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=168763 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU]"
"141","20.810207","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=167739 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"142","21.692210","185.220.101.175","54.36.163.65","2108","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"143","21.692210","185.220.101.175","54.36.163.65","770","TCP","20884  >  8001 [PSH, ACK] Seq=171125 Ack=1 Win=21 Len=710 [TCP segment of a reassembled PDU]"
"144","21.712342","185.220.101.175","54.36.163.65","1084","TCP","20884  >  8001 [ACK] Seq=171835 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"145","21.715832","185.220.101.175","54.36.163.65","456","TCP","20884  >  8001 [PSH, ACK] Seq=172859 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"146","21.807825","185.220.101.175","54.36.163.65","1480","TLSv1.2","Application Data, Application Data"
"147","21.828935","185.220.101.175","54.36.163.65","1084","TCP","20884  >  8001 [ACK] Seq=174675 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"148","21.835156","185.220.101.175","54.36.163.65","456","TCP","20884  >  8001 [PSH, ACK] Seq=175699 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"149","22.120604","185.220.101.175","54.36.163.65","1480","TLSv1.2","Application Data, Application Data"
"150","22.207240","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"151","22.661447","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"152","22.851149","185.220.101.175","54.36.163.65","1316","TLSv1.2","Ignored Unknown Record"
"153","23.180319","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"154","23.265751","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"155","23.473161","185.220.101.175","54.36.163.65","210","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"156","23.679049","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"157","23.747973","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"158","23.919248","185.220.101.175","54.36.163.65","210","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"159","24.243773","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"160","24.287612","185.220.101.175","54.36.163.65","1316","TLSv1.2","Ignored Unknown Record"
"161","24.470103","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"162","24.587783","185.220.101.175","54.36.163.65","292","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"163","24.791540","185.220.101.175","54.36.163.65","1480","TLSv1.2","Ignored Unknown Record"
"164","25.017327","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"165","25.181538","185.220.101.175","54.36.163.65","318","TLSv1.2","Ignored Unknown Record"
"166","25.864974","185.220.101.175","54.36.163.65","93","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"167","25.886702","185.220.101.175","54.36.163.65","1084","TLSv1.2","Application Data"
"168","25.888487","185.220.101.175","54.36.163.65","456","TCP","20884  >  8001 [PSH, ACK] Seq=200962 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"169","26.151981","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=201358 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"170","26.151981","185.220.101.175","54.36.163.65","852","TCP","20884  >  8001 [PSH, ACK] Seq=203406 Ack=1 Win=21 Len=792 [TCP segment of a reassembled PDU]"
"171","26.466126","185.220.101.175","54.36.163.65","1152","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"172","26.525989","185.220.101.175","54.36.163.65","374","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=206314 Ack=1 Win=21 Len=314 [TCP segment of a reassembled PDU]"
"173","26.525989","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=205290 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"174","26.639622","185.220.101.175","54.36.163.65","394","TLSv1.2","Application Data, Application Data"
"175","26.779731","185.220.101.175","54.36.163.65","1084","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"176","26.779732","185.220.101.175","54.36.163.65","852","TLSv1.2","Ignored Unknown Record"
"177","26.908110","185.220.101.175","54.36.163.65","210","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"178","26.939172","185.220.101.175","54.36.163.65","456","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"179","27.192233","185.220.101.175","54.36.163.65","2108","TLSv1.2","Ignored Unknown Record"
"180","27.192233","185.220.101.175","54.36.163.65","2060","TLSv1.2","Ignored Unknown Record"
"181","27.200031","185.220.101.175","54.36.163.65","1084","TLSv1.2","Ignored Unknown Record"
"182","27.215748","185.220.101.175","54.36.163.65","340","TLSv1.2","Ignored Unknown Record"
"183","27.249143","185.220.101.175","54.36.163.65","292","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"184","27.488686","185.220.101.175","54.36.163.65","1398","TLSv1.2","Ignored Unknown Record"
"185","27.606708","185.220.101.175","54.36.163.65","477","TLSv1.2","Ignored Unknown Record"
"186","27.787111","185.220.101.175","54.36.163.65","603","TLSv1.2","Application Data"
"187","27.867564","185.220.101.175","54.36.163.65","603","TLSv1.2","Application Data"
"188","28.197085","185.220.101.175","54.36.163.65","603","TLSv1.2","Application Data"
"189","28.262869","185.220.101.175","54.36.163.65","603","TLSv1.2","Application Data"
"190","28.321237","185.220.101.175","54.36.163.65","2108","TCP","20884  >  8001 [PSH, ACK] Seq=222931 Ack=1 Win=21 Len=2048 [TCP segment of a reassembled PDU]"
"191","28.321237","185.220.101.175","54.36.163.65","852","TCP","20884  >  8001 [PSH, ACK] Seq=224979 Ack=1 Win=21 Len=792 [TCP segment of a reassembled PDU]"
"192","28.496862","185.220.101.175","54.36.163.65","1084","TCP","20884  >  8001 [ACK] Seq=225771 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"193","28.497193","185.220.101.175","54.36.163.65","1084","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"194","28.789221","185.220.101.175","54.36.163.65","347","TLSv1.2","[TCP Previous segment not captured] , Ignored Unknown Record"
"195","28.833337","185.220.101.175","54.36.163.65","1480","TCP","20884  >  8001 [PSH, ACK] Seq=232270 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"196","28.849654","185.220.101.175","54.36.163.65","1084","TCP","20884  >  8001 [ACK] Seq=233690 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"197","28.856802","185.220.101.175","54.36.163.65","456","TCP","20884  >  8001 [PSH, ACK] Seq=234714 Ack=1 Win=21 Len=396 [TCP segment of a reassembled PDU]"
"198","28.995706","185.220.101.175","54.36.163.65","210","TCP","[TCP Previous segment not captured] 20884  >  8001 [PSH, ACK] Seq=236134 Ack=1 Win=21 Len=150 [TCP segment of a reassembled PDU]"
"199","28.995707","185.220.101.175","54.36.163.65","1084","TCP","[TCP Out-Of-Order] 20884  >  8001 [ACK] Seq=235110 Ack=1 Win=21 Len=1024 [TCP segment of a reassembled PDU]"
"200","29.030146","185.220.101.175","54.36.163.65","1480","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
"201","29.144469","185.220.101.175","54.36.163.65","1480","TCP","20884  >  8001 [PSH, ACK] Seq=237704 Ack=1 Win=21 Len=1420 [TCP segment of a reassembled PDU]"
"202","29.214489","185.220.101.175","54.36.163.65","2108","TLSv1.2","Application Data [TCP segment of a reassembled PDU]"
